misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,10080,394,0.8907835999999999,1.4174294233322144,-0.0011232364922761917,13.395618212223052
40,19680,387,7.5333486,1.4165143489837646,-0.00016449056565761566,6.989882969856263
60,29280,384,5.05604884,1.4163010597229004,-0.002747560292482376,0.7231918394565582
80,38880,390,8.43674686,1.4155638337135314,-0.003973625006619841,3.2738486647605898
100,48480,388,13.444066190000001,1.414557945728302,-0.000740322470664978,6.574995493888855
120,58080,377,13.15587057,1.4140401124954223,-0.006596273183822632,3.548208940029144
140,67680,380,13.417636629999997,1.4132769107818604,-0.008316067652776838,10.326640081405639
160,77280,380,12.548239159999998,1.4124658107757568,-0.005154549703001976,0.28232462853193285
180,86880,380,11.71747741,1.4114169239997865,-0.0033439470455050467,5.015494430065155
200,96480,384,11.774158359999996,1.41110200881958,-2.335160970687866e-05,15.55371527671814
220,106080,375,11.01572927,1.410673189163208,-0.0012337230145931244,3.3357365012168883
240,115680,378,11.57775933,1.4094369888305665,-0.002385508269071579,7.032093575596809
260,125280,379,10.577631709999999,1.408760702610016,-0.001970420964062214,4.555911427736282
280,134880,382,10.786294730000002,1.408333683013916,0.0038891770876944066,0.3633782386779785
300,144480,380,12.631200409999998,1.4075907230377198,-0.0044976856559515,5.629944324493408
320,154080,374,13.628584459999999,1.4064442038536071,-0.0032322290353477,6.072382926940918
340,163680,374,13.676282240000003,1.4056533813476562,-0.00484859049320221,6.234088677167892
360,173280,372,13.983430980000003,1.4047750234603882,0.0024586310610175133,4.548684066534042
380,182880,371,16.57971664,1.4039743065834045,-0.005429209768772125,7.55200209915638
400,192480,369,17.38388977,1.4036477088928223,-0.0058712981641292575,11.36878480911255
420,202080,366,10.596986459999998,1.4039313077926636,-0.005185372335836292,2.414676681160927
440,211680,364,12.969124990000001,1.4022414207458496,-0.007608040049672127,3.11906361579895
460,221280,361,11.98723066,1.4011908054351807,-0.003132226690649986,8.48621370792389
480,230880,357,12.455593839999997,1.4011474013328553,-0.0015922330319881439,4.155916395783424
500,240480,353,15.43721621,1.4004547476768494,-0.0013140949711669236,4.5145180225372314
520,250080,351,14.812824160000002,1.3991415739059447,-0.0005635343492031098,2.805068922042847
540,259680,350,15.697658940000002,1.3983693718910217,-0.0061156988143920895,6.9619668364524845
560,269280,346,10.85947792,1.3981974959373473,0.0018019318580627442,14.820709252357483
580,278880,341,9.55305109,1.3979852199554443,-0.003973269741982222,16.811225128173827
600,288480,336,5.045495859999999,1.3980393409729004,-0.0023902319371700287,13.623544597625733
620,298080,333,5.28434033,1.3987420916557312,-0.006235814606770873,0.8031483888626099
640,307680,331,8.981703549999999,1.3978564500808717,-0.004046580940485001,3.072088289260864
660,317280,329,9.361360060000003,1.3988537907600402,-0.002895195409655571,12.401040434837341
680,326880,327,10.88441546,1.399035906791687,-0.0011657387018203734,11.250746405124664
700,336480,325,11.310906260000001,1.3993972778320312,0.0015543043613433839,10.607370853424072
720,346080,325,13.782131130000003,1.399131143093109,-0.01035831831395626,0.9972936362028122
740,355680,325,14.193754799999999,1.3987032413482665,-0.0059495531022548676,3.433924341201782
760,365280,324,13.28795421,1.3980306267738343,-0.009897613432258368,1.0292352110147476
780,374880,323,12.15408056,1.3985163927078248,-0.011607200372964144,1.4499860763549806
800,384480,322,10.559518419999996,1.3979922890663148,-0.007604448962956667,0.9181884825229645
820,394080,321,10.10314771,1.3974279284477233,-0.005664408951997757,0.615623414516449
840,403680,320,8.918558280000001,1.3975674748420714,-0.003987228125333786,11.816555440425873
860,413280,319,10.670967110000001,1.3965925574302673,0.0023830555379390716,3.9331550717353823
880,422880,318,12.90961624,1.3955325961112977,-0.006758662546053529,7.1760554134845735
900,432480,318,11.887402560000004,1.3941097497940063,0.0004543803632259369,3.647924965620041
920,442080,316,10.784612939999999,1.3938450574874879,-0.0015188105404376983,3.27427933216095
940,451680,315,11.096036940000001,1.3929028153419494,-0.0010483838617801667,13.043670582771302
960,461280,315,11.478449779999998,1.3917921900749206,-0.0009900810662657022,6.4391018688678745
980,470880,315,13.04127767,1.3912049889564515,0.0025078371167182923,24.923346424102782
1000,480480,314,9.249396659999999,1.3916676044464111,-0.004346088320016861,2.441149204969406
1020,490080,314,11.91441417,1.391778826713562,-0.005202705413103104,11.742047142982482
1040,499680,313,12.46594738,1.391157341003418,-0.0028511334210634233,1.3244811952114106
1060,509280,313,11.0089613,1.391044795513153,0.002210916206240654,1.6586317837238311
1080,518880,312,11.719136679999998,1.3906938791275025,0.0006537705659866333,11.22100772857666
1100,528480,312,8.23088938,1.389924669265747,-0.0018883395940065383,3.513767439126968
